	copy
178965	4
133892	6
178961	6
941087	2
1111782	3
798581	1
157453	5
272886	3
157454	6
175828	4
273681	1
160750	3
4369901	5
361581	4
2617854	3
174885	5
174882	1
190220	4
319165	3
370357	6
185222	4
181938	4
195882	5
181422	4
197505	8
190226	1
183686	6
183680	6
183681	4
1146771	4
301109	2
110296	4
300517	1
328103	3
181689	6
196286	1
296134	3
195774	1
194824	1
177217	4
328105	1
292908	5
292909	4
191250	1
191703	3
576761	2
195415	2
449353	6
4440301	3
182799	6
514523	4
293508	6
325786	4
368849	1
292633	1
2555599	1
1896700	2
176104	4
176108	3
4423384	1
586141	4
1101434	5
182797	4
199081	6
311961	2
345454	2
190075	1
182305	1
190076	1
329271	4
181204	4
4476751	1
315517	1
562900	4
199268	4
4039230	6
192504	3
102471	2
4060124	5
210965	1
551902	3
353131	4
1062569	2
660199	3
188881	4
337392	8
363646	1
364341	4
2424737	3
585949	3
183308	1
339132	6
1110312	4
4030157	1
1110317	5
314646	1
146226	3
54794	4
1811927	2
157840	3
157842	3
340809	4
182874	5
193037	1
4439487	4
196513	3
316732	6
4439489	3
196518	3
296456	3
175373	3
174278	4
3160267	5
178557	6
4407747	4
296633	4
109703	4
325419	4
194615	1
194610	3
180658	6
180659	4
187689	6
110842	3
336710	5
523099	4
225919	6
184320	6
334573	1
591818	2
187355	4
192347	3
4361727	5
148354	4
358016	1
567974	4
567972	6
455805	5
4470582	4
4453773	3
197832	2
177024	2
684858	2
2771073	3
187262	1
312882	5
185059	1
573068	2
181217	3
573061	3
4426298	3
25461	6
372473	7
359720	4
345208	2
362342	1
806057	3
348009	4
322560	4
199694	2
303648	4
299047	6
349204	4
349970	3
4356269	2
631218	4
4396688	1
4359216	4
173851	6
519979	1
190441	1
179549	1
320322	6
290442	2
199528	4
196724	1
194584	4
194586	1
3805518	4
187518	3
176312	3
176318	4
187517	8
543348	2
4483963	5
363430	4
3040916	2
367889	6
701221	1
4395884	7
197581	6
584484	5
333645	3
342427	5
197589	1
293869	1
4417158	7
4468892	5
4468234	5
4468891	3
2203165	4
234447	4
299732	4
157470	4
364289	6
197052	5
157479	4
179325	5
175844	5
175846	6
4466275	2
178055	1
2544615	4
171547	5
4413347	3
230132	2
197135	1
4445028	4
4482944	5
747563	3
369014	3
369017	1
256619	4
131921	4
365484	6
145304	5
188329	4
136044	1
188321	1
185203	6
181918	3
308333	4
308338	1
343699	1
564400	1
355002	4
248473	3
4410640	2
170462	1
180352	4
195756	3
195759	1
179572	1
214860	4
193348	3
3086353	3
3621189	5
193343	1
177230	1
191278	3
328472	3
191273	1
322803	3
292921	4
297150	1
531046	4
336528	1
105109	4
4393532	2
177113	4
592933	1
976470	3
579293	5
181008	2
305318	4
182261	1
4375000	6
182264	3
219959	4
182269	4
617216	2
341752	4
199067	3
124906	5
348612	4
311947	6
708285	4
801210	4
287445	1
846386	1
184980	6
350832	4
184984	1
350523	1
350834	4
191180	3
510286	4
4482374	6
538000	6
176785	3
190638	5
583958	3
1046624	2
808794	4
864465	4
1077751	4
176323	3
179159	3
185588	4
185584	4
330208	4
4481131	4
4480841	4
186174	3
210946	4
198555	3
198552	1
198009	6
198559	1
433722	4
352604	2
367946	3
368261	1
291380	3
192983	1
178205	3
178206	1
325437	4
681370	3
288784	5
180982	2
288780	3
180638	1
298716	1
182854	5
336866	1
288075	4
189208	1
111446	1
189205	3
189754	1
180185	2
3186392	4
1903533	7
356030	3
356745	1
358030	5
373909	4
35786	4
309873	4
310380	1
312719	4
522433	4
145619	5
3571769	1
294922	4
181589	5
4393499	4
686211	2
110317	6
192776	7
327171	1
287781	2
300491	4
2949920	4
1830364	1
306633	6
4427459	1
3754926	1
4352747	5
186918	3
4388068	2
3768971	6
215231	4
186913	4
1100972	5
2877100	2
262634	6
262632	2
193575	2
2280825	4
270448	4
184142	6
