	copy
176750	1
4481613	2
176753	4
891034	6
113827	4
679245	5
531539	1
294293	1
197490	5
806852	5
484444	5
193863	1
692823	5
4476186	4
193868	1
329313	1
4411875	3
208479	4
4377150	3
353632	1
326991	4
1888072	1
470117	2
512494	5
179760	3
71710	4
178148	5
364753	1
369109	2
849535	4
343047	1
303313	1
4484010	3
347758	3
183267	1
330714	2
188276	1
1115121	3
589822	1
4355718	3
4281639	1
4379889	3
4416570	1
826302	3
294993	4
299474	4
183045	1
303279	4
196453	4
186563	2
303274	1
303273	2
918313	4
1823053	5
325977	1
301812	4
263138	1
4451152	6
359445	4
296045	5
848669	4
177503	4
3393186	3
4387706	3
527408	5
197930	1
292745	3
292294	1
310574	4
839610	4
110457	1
187210	1
187212	6
110458	4
4335578	8
2411212	3
922239	4
913036	2
189324	1
358712	4
697548	3
150436	4
772282	1
4424598	6
2046330	1
4430499	6
2235415	6
184897	4
349789	1
2124531	1
289208	4
193831	2
579431	4
4396656	4
293655	4
294353	1
197046	3
294606	1
197552	3
173996	1
528782	4
301253	4
15728	7
2688035	4
3016478	1
363731	2
363735	1
186022	1
290291	1
276484	5
194353	1
836693	3
357389	6
2388088	1
3430932	1
3430935	4
556126	5
298115	4
295554	4
295556	6
347690	4
196604	3
325279	6
176924	3
840279	5
168383	4
847728	1
179402	4
178764	1
194761	1
548587	3
194769	6
3557915	4
294451	2
4425368	5
233253	2
174078	1
288128	3
319621	5
4438999	6
333726	6
147484	8
4433676	4
3028318	3
183457	3
183454	5
183450	3
1145921	3
574689	3
1000547	4
67806	4
562583	1
1103978	1
4453609	3
359872	3
319197	1
319196	4
557978	5
312422	4
309929	1
263895	6
197237	3
1039584	7
190913	5
446691	4
4336070	3
577170	5
365167	1
308786	1
4316995	1
25005	1
183873	1
186804	1
359650	3
359120	4
130663	5
198930	1
4429335	7
494906	7
300235	1
4441081	2
277202	3
196180	1
328207	1
4431545	3
199182	6
309070	4
215097	4
320786	1
518287	1
874627	2
845544	4
550727	1
149226	3
323786	3
4395462	3
196982	6
519880	2
223059	1
561808	1
295835	4
193755	2
189677	6
194297	1
325098	1
198587	4
152485	6
176008	1
714461	5
363507	1
342085	3
535549	4
335132	5
4426051	1
141145	7
4368484	4
571242	1
208539	8
157054	3
192406	3
192404	1
320250	1
274965	4
327209	4
1924689	4
198324	1
327808	4
530700	1
211795	6
356360	3
70461	4
102049	3
1132942	3
361108	3
4484034	5
3116381	2
183202	3
91008	6
183207	3
540055	3
182915	3
3235048	1
182911	3
647215	4
4318122	5
311606	6
185324	4
195719	1
325958	6
178439	1
3944484	7
1106254	5
193233	5
193230	1
193235	1
296717	4
366451	6
355373	5
194933	4
177836	1
177520	1
187181	1
228556	1
366633	4
288930	3
687245	5
326788	3
336638	4
22697	5
182647	4
1122673	2
182643	4
189690	1
184426	4
184420	1
420168	4
150412	5
190208	3
181171	3
181176	6
181174	5
4387181	1
191998	6
515707	3
293097	6
4472195	2
553842	6
100975	3
320066	1
4359590	6
4334711	5
294370	1
4449525	5
186345	3
1059729	4
828776	6
340759	3
292967	2
4402605	4
134174	6
1600780	4
352902	3
347908	4
297970	1
4462107	4
194339	3
298254	4
4356641	5
799443	4
198133	5
566578	3
323862	1
519763	4
196664	5
569244	2
591499	3
295023	1
178331	2
364563	4
547287	2
585989	5
289817	4
178385	4
179425	6
179423	4
229547	4
368462	3
331411	4
325541	3
851682	7
187751	6
335564	4
132829	6
319603	1
333743	3
4311620	5
4311621	5
189975	4
183439	4
310760	1
365385	3
294812	3
516611	4
192963	2
178849	4
178845	4
302865	1
296941	4
239863	10
310490	1
267718	4
354850	5
849704	4
320888	4
4475642	5
4428313	6
300646	4
186092	4
4453084	3
197214	5
4306040	2
13354	5
